50	51
27	19
52	18
30	16
50	15
4	26
52	9
45	10
27	14
26	19
52	14
54	10
33	1
23	14
44	23
52	25
30	25
2	9
43	26
47	35
50	48
90	30
49	42
56	40
53	40
56	36
59	22
62	33
59	36
59	37
60	34
54	39
53	42
57	42
55	37
55	40
55	39
52	40
56	40
47	37
28	18
48	37
43	29
47	2
32	25
48	37
51	37
52	40
49	37
36	16
56	41
74	34
64	34
61	23
54	46
53	40
56	39
53	44
53	40
52	41
59	41
57	44
56	41
55	41
55	43
52	41
60	41
60	39
59	38
59	38
52	37
54	39
50	46
57	25
60	29
53	45
50	50
13	33
24	41
30	50
26	39
7	65
