45	48
46	46
42	46
44	44
44	50
46	44
45	43
44	43
49	46
46	49
47	44
40	48
45	44
52	42
45	44
44	42
38	40
42	43
43	37
47	28
63	9
45	27
45	27
47	26
47	27
50	27
48	27
48	25
51	32
48	25
43	23
49	46
50	46
53	50
55	43
41	25
51	47
47	44
50	46
43	40
45	34
44	41
46	37
46	37
43	40
41	37
41	30
43	27
44	30
45	27
43	30
52	50
43	25
53	50
54	53
45	43
46	44
46	46
47	45
43	46
51	48
43	46
49	49
48	48
48	51
46	50
49	49
49	46
51	46
54	43
46	42
45	42
39	33
40	28
44	27
51	47
47	47
42	17
46	21
57	6
46	46
48	41
